turkish,english
Bu bana bütün işittiklerimin ve gördüklerimin en garibi geldi.,This was perhaps the strangest thing I had ever heard or seen.
Bir hafta buradan çıkmayacağız.,We won't go out for a week.
"Sadece ailelerinde değil, geniş çevrelerinde dahi, ilk defa bir boşanma yaşanıyordu.",This would be a first not only in their family but in their extensive circle of friends and acquaintances.
"Onları çağırırken, Enişte Efendi'nin son isteğinin bu olduğunu söylersiniz... Bu mutlu değil, gözü yaşlı bir düğün olacak.","While you’re inviting them, say that this was Enishte Effendi’s last wish…It won’t be a joyous wedding, but a melancholy one."
"Tavla oynamayı da bilmezdi’ diyerek söze karışan Kirkor Amca da taşıyordu hiç kuşku yok ki. Gözlüklerinin üstünden, Kirkor Amca’ya önce sitem ederek bakmıştı Mösyö Jak.",He hardly knew how to play backgammon!” Monsieur Jacques had first cast a glance at Uncle Kirkor from above his spectacles.
"Ama o insanları, o insanların bizlere, biraz da bir miras olarak bıraktıkları acılar adına tanımayı denerken bazı olasılıkları görmezlikten gelmeyi de deneyebilirdik.","Well, we could also try to overlook certain probabilities while we were trying to understand those men for the sake of the legacy of those pains left to us."
"Bütün çalışma kamplarını araştırmak lazım şimdi, nerede olduğunu bulana kadar..",We might have to check the labor camps until we find him.
"Diyordum ki, birden, buzla kaplı kepenk patlar gibi açıldı ve orada güneşte ışıl ışıl parlayan pencerenin çerçevesi içinde gördüm on iki yıl sonra, güzel yüzü karlı dallar arasından.","Just as I was thinking such thoughts, the window’s iced-over shutters opened with a loud burst, as if they’d exploded, and after twelve years, I saw my beloved’s stunning face among snowy branches, framed by the window whose icy trim shone brightly in the sunlight."
"Kalan sağların çocuklarından biri olarak, yine de okumak düşünmek yazmak ve hayal kurmak isterseniz, bunu sessiz sedasız ve içten içe yapmanız gerekirdi, asla kendini kaptırmadan.","If as a child of survivors you still wanted to read and ruminate, you should do so quietly, apprehensively, and introspectively, never turning yourself into a vociferous reader."
"— Kaymakam Hüsrev’le Dr. Adnan buradan öteye bir adım atmayız, diyorlar. Ötekiler de onlara uyup gitmeyeceğiz diye tutturacaklar! Bana kalırsa bir gayret daha gösterip bu gece Adapazarı’na varmalıyız.",“Major Husrev and Dr. Adnan refuse to go on and the others are going to follow their example; I think we ought to make one more effort and reach Ada-Bazaar tonight.
Para dersen sel gibi Çukurovada.,"If it's money you want, it pours like a flood in the Chukurova."
"""Babaannemin doğduğu şehre tek başıma gelirsem, aile mirasımı ve şu hayatta nerede durduğumu daha iyi anlayacağımı zannettiğim için geldim İstanbul'a.","""I came to Istanbul because I thought if I made a journey on my own into my grandmother's city, I could better understand my family heritage and where I stood in life."
"Gider gitmez onu incir ağacının en tepesine kadar kovalayacağım.""",I’m going to chase him to the top of the fig tree the second I see him.”
"Bu yüzden esirci, Beyefendi'nin yattığı odaya girip de satılık cariye olduğunu öğrenince hanıma, ""Vallahi efendim, bir istekli müşteri var, eğer cariyeyi beğenirse istenilen değeri kurtarabiliriz.","Therefore, when the slave trader entered Ali Bey’s room and learned that there was a concubine for sale, she immediately told Fatma Hanim: “I promise you, my lady! I have an enthusiastic client. If she likes the concubine, she can give you the money you"
"""Sakat eder, kör eder, maazallah!",“He’ll blind you!
"Mendili türlü şekillere koyuyor. Uğraşıyor. Bazı bir yaprak gibi açıp, bazı dürüyor.","He folded the handkerchief in different ways, kept on trying it: sometimes like an open leaf, then rolled up."
"Bak Şeküre, dedi yüreğim bana, Kara yalnızca yakışıklı değil, gözlerinin içine bak, yüreği çocuk gibi, ne kadar temiz, ne kadar yalnız. Evlen onunla.","Listen Shekure, my heart did tell me, he’s not only handsome, look into his eyes, he possesses the heart of a child, so pure, so alone: Marry him."
"Babamın mangalı yanıyordur, onunla oturayım, ısınayım -aklım Kara'da değil, çocuklardaydı artık- diye yanına gittim. Elimde lamba.","My father’s brazier must be burning; I ought to sit with him and warm up. As I went to be with him, holding an oil lamp aloft, my thoughts weren’t with Black any longer, but with the children."
"Öyle şeytani, zekice bir yan vardır ki bu adamda, bütün o karanlık ve kötü hallerine rağmen insan Şeküre'nin neden hâlâ mektuplarını kabul ettiğini anlayıverir.","There was such an enchanting, intelligent side to this man that despite all his dark and evil traits, one could see why Shekure would still accept his letters."
Hangi meseleyi hallederdi?,What would that achieve?
"Leman merakını yenemedi, ""Neyi yazmış?""",Leman’s curiosity got the better of her. “What does it say?”
"Barsam Bey, Barsam Bey, bir tanecik evladın var, onu da Türkler yetiştirecek. Senin kılını kıpırdattığın yok...","""Mr. Barsam, your daughter is going to be raised by a Turk and here you are doing nothing about it...."
"Bir yirmi dakika sonra, sekreterin, ""Konsolos bey sizi bekliyor,"" demesi üzerine kalktı, elleriyle eteklerini düzeltti, yüzüne düşen bir iki saç perçemini geri attı, koridorun dibindeki odaya kadar sert adımlarla yürüdü ve kapının önünde bir süre durdu.","Twenty minutes later the secretary announced that the consul was free. Selva stood up, straightened her skirt, ruffled her fringe, and strode down the long corridor to the consul’s office."
Bir falcının İstanbul'da efsane olması işten bile değildi. Ezkaza şansın yaver gidip de birine baktığın falın doğru çıkması yeter de artardı bile.,It took a fortune-teller no longer than a flash to become legendary in Istanbul.
"Zeliha da ayak uydurmuş bu yoyoya, ruh hali bir sarkaç olmuş adeta, iki zıt kutup arasında gidip geliyor: Donukluktan taşkınlığa savruluyor, sonra gene taşkınlıktan donukluğa.","While the yo-yo indifference went up and down with a rhythm all its own, the pendulum of her mood swayed between two opposite poles: from frozen to fuming."
"Kız, sokak adabının muhafazasına taassupla taraftar.",She insisted on maintaining the proper street decorum.
"Bu sadece dışarıda kalmak, satıhta yüzmekti.","It amounted to remaining external, to living on surfaces."
"Bu sene yaşgünü pastası filan istemiyorum.""","I do not want a birthday cake this year!"""
"Kahve kokusu, taze çörek kokusuna karışmıştı.",The coffee odor mingled with the scent of fresh buns .
"Arabalardan çıkanlar birbirine sokuldular, elleri dolu olanlar omuz omuza, boş olanlar el ele, birbirine yapışıp kuvvet almak isteyen, canlı bir ıstırap kümesi gibi sandallara, salapuryalara indiler. Rıhtımda ayak sesleri kesildi.","Those whose hands were occupied with babies or baskets kept in touch, shoulder to shoulder, seeking support from one another. They were shuffled into the barges."
Fakat ne çıkar?,But what did I care?
"""Seni evine götürür."" Medreseli oğlan da bir an önce sıvışmak istiyordu, koşar gibi uzaklaştık.",“He’ll see you to your house.” The student wanted to slip away as soon as possible and we were almost running as we departed.
"Ölmese gelirdi Memed, dedi.","Otherwise he would have returned."""
Bu kahramanı oynamak hoşuma gitmişti.,I was glad to be one of the heroes.
"Fıldır fıldır dönen gözlerinin siyahları kaybolmuş, iki beyaz nokta kalmıştı.",The poor negro actually let go of the reins and looked round to me with a roll of the eyes so that I could see nothing but two enormous white balls.
"""Deden gibi nakış yapmayı da seviyor musun?"" dedi Kara.",“Do you like to make illustrations like your grandfather?” asked Black.
"Seyit Lûtfullah’ın yüzünü duvara çevirerek konuştuğu huddamı ile baktığı falların doğru çıktığı, bazı asabî hastalıklarda nefesinin ve bilhassa elinin çok iyi tesir ettiği daima söylenirdi.","It was rumored that whenever Seyit Lutfullah convened with his auspicious spirits by turning his head toward the wall, his prophecies always came true, and that his breath, and even his hand, had a healing effect on people afflicted with certain nervous disorders."
"Mösyö Rober’in suskunluğunda, işte böylesi bir karanlığın izleri vardı.",In the restraint of Monsieur Robert one could see the traces of a like darkness.
"Sanki eski ve güzel bir metni tefsir eder gibi, bütün müphem parıltılar keskin vuzuha kavuştular.","As if elucidating an ancient and exquisite manuscript, all ambiguous glimmers attained vivid clarity."
"Başka başka dinlerin, harsların, medeniyetlerin mahsulü oldukları halde gene Rabia ile onun anası arasında müşterek noktalar, benzeyişler buluyordu.","Although they were so totally different, yet there seemed an intangible resemblance between his mother and this girl."
"Bembeyaz yakalar, zarif takım elbiseler.",They were wearing immaculate collars and elegant suits.
"Kıvır kıvır saçlarına, başka zaman olsa küstahça şaplak vurmak isteyeceğim davetkâr ensesine, çirkin kulaklarına bu kadar yakın olmak sinirimi daha da bozmuştu.","Being this close to his curly hair, to the nape of his neck — which might’ve invited an insulting slap at another time — and to his ugly ears enraged me all the more."
O teşkilâtçıdır.,He’s a man of action.
Doktor gülümseyerek duvarda asılı duran ceketini giydi.,"Smiling, the doctor put on his jacket, which had been hanging on the wall."
"Siz kend^ize bey mi bulamayacaksınız?""",Aren’t you capable of finding a
"Venedik'te kiliseleri gezmiş, köprülere, saraylara şaşmış, en çok zengin evlerindeki resimlerden büyülenmiş, bu hayret içinde de gösterdikleri misafirperverliğe güvenerek tehditlerle dolu mektubu vermiş, Padişahımın yukarıdan bakan bir edayla Kıbrıs'ı istediğini tebliğ etmiştim.","As a result, I was able to tour the cathedrals of Venice. Though I marveled at their bridges and palazzos, I was most enchanted by the pictures hanging in Venetian homes. Nevertheless, in the midst of this bewilderment, trusting in the hospitality displayed by the Venetians, I delivered the menacing correspondence, informing them in a haughty, supercilious fashion that Our Sultan desired Cyprus."
Fatma’nın asabı alt üst oldu.,"“And equally bad, Fatma was a nervous wreck."
"Halbuki tecrübe daima yapılmış, daima iki çehreli insanlar vermişti.","Meanwhile, the attempt has always been made and it has always given rise to creatures with two faces.”"
"Oysa ağlamak, tüm umutları unutasıya ağlamak için başka saatler vardı.","However, there would be other hours for weeping to the point of being oblivious of everything."
"En son getirilen bir topal köylü, derede yıkanan kadınları gizlice seyrettiğini fısıldayarak itiraf edince Hoca yatıştı biraz.","When the last villager they brought forward, a cripple, confessed in a whisper that he had secretly spied on women bathing in the river, Hoja calmed down a bit."
"""Bu trende sizin durumunuzda olan başkaları da olacak.""","“There will be others on the train in a similar situation to yours,” Ferit said."
"""Neden durakladı, neden daha ileri gitmedi?"" Bir soruysa bu, cevabını ben de onun gibi bilmiyordum: Belki ilerideki gidilecek o yer konusunda Hoca'nın bir düşüncesi vardır, diye kuşkulanıyordum gerçi, ama o da bir şey söylemedi.","‘Why did he stop there, why didn’t he go further?’ If this were a question, I didn’t know the answer any better than he did: I suspected that Hoja had an opinion about what more the pasha might have said, but he said nothing."
